0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
76.6557302,94.53036314,102.3169541,108.0714068,113.0122063,117.9122539,123.0306683,128.6604609,136.1504425,159.3616112,75.46528308,95.22734208,104.262933,110.826213,115.8811413,120.2369907,124.6472383,129.3671601,135.7043027,156.4281355,74.95467725,92.99725359,100.7813215,106.0918523,110.2017089,114.0428811,118.0906317,122.7109721,129.0134269,150.3970095,agricultural
87.54967191,99.88556607,106.6072028,111.8576442,116.521361,121.2462994,126.2587733,131.9330078,139.089411,156.7886787,85.71127728,100.2435154,108.1831222,113.8466585,118.3376564,122.377537,126.4794019,131.1141462,137.3632896,154.2595362,84.75293759,98.18904486,105.0347932,109.7802868,113.6542569,117.4253014,121.4406469,126.0935449,132.3579493,149.7895941,agricultural
84.18083321,96.61122978,104.3554097,110.2682331,115.4322551,120.4922936,125.9119622,132.1162826,140.603906,164.8161428,81.47825423,94.4266097,103.1358157,109.8381141,115.1040586,119.7837632,124.2732682,129.3682283,136.5787305,154.9784864,79.26873188,91.41791273,99.07736914,104.4879463,108.8327739,112.9336182,117.1917913,122.2006714,129.2841013,147.5010681,agricultural
89.99710056,98.47848642,102.5617275,106.1090937,109.8765639,114.5928582,120.7422948,128.2542347,136.9195911,153.6116875,85.29330078,96.73115655,104.5180833,110.1075679,114.3548978,118.4620784,123.106805,128.8147413,136.2220018,150.525328,84.74164505,95.00488251,100.3364871,104.3159902,107.9064693,112.0691286,117.1736344,123.4744392,131.838877,148.0839182,agricultural
60.11628262,80.19835215,102.1419197,119.7969179,131.7770827,140.4040897,147.6475435,154.9119487,163.1185536,174.8220934,59.10071723,79.26228258,102.4701663,121.4594141,134.2715899,143.2699527,150.3512359,156.7462231,163.3585597,173.6765334,69.5904166,91.32941715,110.9134747,126.4951175,136.5283796,143.1773234,148.5120537,153.6390966,159.3539823,168.0915471,agricultural
60.15443308,76.79218798,90.60155654,100.2287153,108.6710406,117.2815504,126.4675008,136.5345643,148.4784864,169.2860848,61.48924157,79.09719255,94.60155654,104.8141593,112.8614587,120.9606287,129.637931,139.0238059,150.1618859,170.2323772,61.06821303,78.51434239,92.86128491,102.7535856,110.9673482,119.2095224,127.796155,137.1339844,148.4075374,168.4848947,agricultural
55.09140852,69.70292951,82.44864947,90.51785169,97.22200183,104.4468183,112.581477,121.8660156,133.2883735,153.9539213,56.34274378,72.48245346,87.41126202,96.71483064,103.6566982,110.3143598,117.7216967,126.2589654,136.6286237,155.4742142,52.62673585,68.29310345,81.78864642,90.00183094,96.61626488,103.5127423,111.2146781,120.036014,130.7572475,150.6161123,agricultural
64.20189226,81.41730241,98.6882344,108.1087885,114.2334452,120.984282,129.247635,140.2588128,152.9606347,168.6510528,64.22798718,81.88617638,102.1596215,116.7053708,123.300885,128.6786205,135.1576137,143.751259,154.4148612,168.5895636,66.31863269,83.37000305,100.3773844,108.7006408,114.1411352,119.9179002,127.2595362,137.2926904,149.4488862,165.5143424,agricultural
48.83168015,66.51113824,84.60216695,100.9224901,110.0393653,116.7404242,123.405859,130.8663208,140.9235581,162.0845285,48.61178086,66.54195911,86.10880513,106.0585902,118.9787916,126.3013887,132.3521514,138.9331604,147.5639304,166.270827,49.12650694,65.5904791,83.57012056,100.7711321,110.3234666,116.6079658,122.8754959,129.916069,139.5022887,160.2574001,agricultural
44.23393865,60.67638084,79.97344728,97.82865426,110.6608178,121.3541889,131.1312176,140.6377232,152.1275557,174.5236497,42.60888143,59.69606347,80.29314818,100.4783338,114.894263,125.2987944,134.1615807,142.8266443,153.5379921,174.8933476,42.69616969,59.06164175,78.64489547,97.15593531,109.2210864,118.2681215,126.1566982,134.5502823,145.5410436,168.0564541,agricultural
