0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
75.4559342,93.19721383,100.8239342,106.3789862,111.0386036,115.4359577,119.9761665,124.7056059,130.1062437,137.4731454,161.0800604,74.14873258,93.72524337,102.4801947,108.9674387,113.9538436,118.1081081,121.9944612,126.0758644,130.5701578,136.8558241,157.9709634,73.73191204,91.67774421,99.30698221,104.5948305,108.5689829,112.1418499,115.6253776,119.4880832,123.8991272,130.16952,152.0050352,agricultural
86.79486319,98.78012756,105.286002,110.2531051,114.6680094,118.8411952,123.2492447,127.9424303,133.3776435,140.3034575,158.0149379,84.82524761,98.93655589,106.6325948,112.2247398,116.5837529,120.4077556,124.0198053,127.8722726,132.2876804,138.466096,155.4508224,83.92261205,97.00956697,103.7473985,108.4191004,112.1413226,115.5245929,119.0052031,122.8239342,127.2839879,133.4682779,151.0238335,agricultural
83.47356052,95.33836858,102.8511245,108.5214837,113.3340047,117.957529,122.6361195,127.7700571,133.7059416,142.1926821,166.4864048,80.74080913,93.07334676,101.3840215,107.8939241,113.0827459,117.4816183,121.591138,125.8084928,130.7096341,137.8789862,156.2168513,78.56773544,90.20392749,97.55152736,102.9770057,107.1243706,110.864697,114.6203424,118.7054381,123.4832158,130.5730111,148.7440416,agricultural
89.4398187,97.81940248,101.7163478,104.9823766,108.2517623,112.0815847,116.9256462,122.9818731,130.0814032,138.2705606,154.7069486,84.62934363,95.55287009,102.9467942,108.5731789,112.6612957,116.3973477,120.2536086,124.7670359,130.3016113,137.4504867,151.4155757,84.11549438,94.08341725,99.33786506,103.1166499,106.4182612,109.8893738,114.0167842,119.0288687,125.1032226,133.2645183,149.0652904,agricultural
59.23300319,77.27190332,97.31923464,114.9175898,127.4729775,136.3782105,143.441759,149.9159114,156.6409869,164.3630413,175.472474,58.25297969,76.15021819,97.38217523,116.2433703,129.6280631,139.1495719,146.2806311,152.4580396,158.181101,164.3497818,174.2861699,68.46281685,88.6490433,106.6529037,122.2354817,133.0149379,140.1307705,145.4452837,150.1111111,154.8699228,160.2195368,168.6008728,agricultural
59.33674668,74.67455522,87.92749245,97.42732461,105.2499161,112.9182474,120.9261497,129.5731789,139.003189,150.346425,170.5615979,60.65267752,76.7762672,91.56629742,102.0240013,109.6230279,116.8294444,124.456529,132.5011749,141.3440752,151.9202753,171.473481,60.21604835,76.28516281,90.09331991,99.91893253,107.6762336,115.0565721,122.6659953,130.6416583,139.4436052,150.2056059,169.7124874,agricultural
54.39717979,67.74018127,80.05807318,88.25528701,94.48153743,100.733255,107.6236992,115.3937563,124.201242,135.1424975,155.2039275,55.59274803,70.27660289,84.5327291,94.21483719,100.9293387,106.9474568,113.1755623,120.3418933,128.343236,138.319906,156.6312521,51.86603995,66.23044646,79.28499496,87.74488083,93.94192682,99.95366795,106.5350789,113.9039946,122.213998,132.4994965,151.8343404,agricultural
63.46013094,78.91070829,95.35330648,105.8710977,111.7524337,117.4493873,124.10809,132.4001343,143.1052367,154.6931856,169.5223229,63.49169045,79.2306143,97.61564283,113.4303458,120.9583753,125.9276481,131.1565962,137.5589124,146.0557234,155.9425982,169.3900638,65.58972637,80.87042632,97.22322927,106.7566297,111.9525008,116.8638576,122.7056059,130.0721719,139.9251427,151.1985566,166.4162471,agricultural
47.96860836,64.176905,80.35431353,96.59298422,106.9259819,113.4584522,119.4068479,125.652568,132.79238,142.64619,163.4446123,47.76196072,64.10120846,81.36790869,100.2180262,114.7797919,123.0008393,128.7875126,134.3481034,140.6025512,149.0545485,167.4707956,48.34211852,63.34575361,79.26518966,96.05555556,107.224572,113.5783112,119.10809,124.9736489,131.75428,141.1433367,161.6038939,agricultural
43.49202619,58.30849278,75.41289023,92.74790198,105.8945955,116.1363102,125.4469621,134.1287345,142.9384021,154.0140987,175.9412555,41.83162666,57.22356495,75.3121853,94.58123531,109.7836522,120.3864361,129.0745217,136.8491104,144.9456193,155.3291373,176.2403491,41.94997482,56.7027526,73.94008056,91.95703256,104.9691172,113.936881,121.5777106,128.6649883,136.6963746,147.3912387,169.501007,agricultural
