0,1,2,3,4,5,6
B1,B2,G1,G2,R1,R2,class
134.2652439,102.5692664,130.5968883,100.9769275,130.1688167,100.78281,agricultural
133.375313,105.4848816,130.9760103,104.2355695,130.6761251,103.9801141,agricultural
133.9008215,102.3791326,130.0346066,100.7774324,128.7692883,100.1081382,agricultural
134.74071,103.212517,131.7229111,102.1921774,131.6445184,102.1776722,agricultural
148.1471408,91.03399007,148.6961647,93.18678412,148.9752111,94.31172043,agricultural
143.5793907,92.52386351,142.8772493,92.16518035,143.4134286,92.67935931,agricultural
137.4395474,88.63475979,134.6812495,87.27919691,135.1097181,87.48620066,agricultural
142.7808471,97.14281431,138.3074305,94.40084569,139.3722243,95.2374564,agricultural
138.7629627,88.36759218,134.8710655,84.79095718,135.880969,86.01353895,agricultural
142.3675309,82.6797249,140.1680368,80.34076329,140.2110395,80.37145659,agricultural
154.7426852,103.0442734,145.6268568,102.6170003,143.376723,101.9245958,agricultural
125.359623,98.65267632,122.7871987,98.35291907,121.2188195,98.0995955,agricultural
158.0392181,107.8319904,150.7682706,107.7566449,148.7799014,107.7374513,agricultural
130.5851787,97.16896841,126.6311016,93.20751492,127.4341118,94.31749419,agricultural
136.5708483,88.21444564,133.6618806,84.80635821,134.2949604,85.69953227,agricultural
155.4936681,90.8444619,155.1704147,90.60879532,156.074763,92.48831388,agricultural
145.3518914,102.7298563,139.7103142,99.15058431,141.3990734,100.8445957,agricultural
143.3168357,110.1274925,137.599481,109.0398347,138.7693954,108.8317044,agricultural
136.6981336,100.0887531,134.3349418,98.06757772,135.3600082,99.50927455,agricultural
148.3526131,106.2077878,142.5074078,104.7635675,141.9942384,102.3773702,agricultural
138.4562353,98.22446423,132.5744692,95.57129652,133.9922705,96.46046902,agricultural
130.889961,87.01031583,123.1013478,81.93085156,121.7688448,80.8305698,agricultural
136.0207152,83.96403436,130.5868703,78.02523872,130.2272154,78.0036682,agricultural
136.6248597,85.55634235,132.3087335,81.50558489,131.2680835,81.44610084,agricultural
151.4723311,99.38459917,151.8612451,100.5804801,152.4459824,102.5735434,agricultural
160.6781819,101.2986615,161.0130498,102.577142,160.979237,103.1239129,agricultural
150.9116981,106.352718,143.1304246,105.8123842,142.0159867,103.7500515,agricultural
134.9228039,74.468832,122.4293512,73.73909223,121.0198999,73.58053844,agricultural
131.8513274,78.30287359,117.3688936,77.61596417,116.7914541,77.51145343,agricultural
130.9351193,77.96611082,121.3194982,76.63623495,120.3656923,76.34260847,agricultural
136.4562073,106.7396336,131.0321707,104.0883889,132.9070491,109.3803587,agricultural
136.8773928,101.5139579,130.1643689,96.57334719,132.6378509,104.6789707,agricultural
128.4096386,78.43705063,117.3850325,78.28861314,118.8191388,78.34852196,agricultural
128.9596774,82.37487005,111.1669954,82.12601215,112.4233798,82.20929231,agricultural
143.6055705,82.40374348,116.0256884,79.85209197,116.9955033,79.76618657,agricultural
128.0510381,86.08723206,106.5098442,83.49142546,108.0379791,83.58543107,agricultural
161.7864215,87.94693733,107.4552964,85.37897854,107.821629,84.97391119,agricultural
130.7760548,109.4810629,130.0891851,109.3893531,130.9962258,110.1347148,agricultural
128.2230825,109.9814434,127.9352873,109.9960125,128.5882635,110.806128,agricultural
137.6562395,115.5703975,136.0930267,115.4743809,136.1640602,114.7025378,agricultural
128.9380362,116.9543701,127.3611929,116.9241109,126.9234304,116.8990096,agricultural
130.0912777,115.0242305,126.5480416,114.8044827,125.9162744,113.9355482,agricultural
152.2663584,110.5083859,150.2993002,108.997101,150.1441982,107.1594109,agricultural
135.5147569,113.4055714,132.0194776,113.176722,131.565589,111.8014511,agricultural
137.4431898,113.1845039,132.7785099,113.1071345,131.5931359,113.0555893,agricultural
136.7008979,117.0044581,135.5613089,116.9905332,135.217583,116.894635,agricultural
131.6022856,106.9721628,126.1546511,105.8188872,127.7473277,112.0799945,agricultural
143.8297628,113.3790816,143.3765648,113.1522177,143.2585677,112.2991651,agricultural
134.566043,113.0659222,130.335947,112.6943814,129.6271439,111.5776035,agricultural
140.3360987,117.2342502,139.9321518,117.2283814,139.8069898,117.0870701,agricultural
137.5961792,115.0615778,135.384277,115.051999,137.2504569,122.7510004,agricultural
134.1742377,116.8015853,133.0538986,116.792505,133.3298752,117.5012116,agricultural
138.1571909,115.2371928,136.6333439,115.2241232,136.4130554,114.0948749,agricultural
149.6560818,115.0546993,148.7604452,115.044713,148.4823136,114.8559069,agricultural
134.6204376,116.5963598,133.0469655,116.5633643,132.8500833,115.7547286,agricultural
132.3088577,118.887619,132.2004738,118.887619,132.174347,119.3970944,agricultural
134.3884786,117.3446411,133.8425561,117.3446411,133.6683893,117.3430818,agricultural
137.1191294,114.2136397,134.4481713,114.1930924,133.7636519,113.8223289,agricultural
147.3515909,115.3565038,146.9929331,115.3565038,146.8840569,115.0809365,agricultural
136.6959752,112.710473,133.7575457,112.263036,133.0375357,111.405632,agricultural
141.619739,110.057237,137.8305323,109.4816428,136.7148981,109.222134,agricultural
170.9749686,99.65523307,170.71875,94.89445755,170.7494185,97.26339121,agricultural
127.3330294,105.2994001,124.922229,103.3271663,123.5841934,101.7601167,agricultural
127.0615932,111.6365476,122.4267884,109.7178944,122.5530009,109.0999347,agricultural
130.0210301,112.1342023,128.2579829,110.8346488,128.387397,110.3648609,agricultural
141.5279698,102.3942847,133.040774,99.63934186,134.4221819,100.3131735,agricultural
131.5910137,101.608453,128.0108747,97.92188305,127.2539255,96.5527325,agricultural
140.9840484,88.10576393,138.7135929,85.87550603,137.812043,84.88623206,agricultural
